City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Georgetown,MY,2021-03-29 00:36:50,5.4112,100.3354,80.01,94,20,3.44
228,Bone,DE,2021-03-29 00:36:50,51.9669,12.1396,51.01,65,100,3.0
229,Kosa,RU,2021-03-29 00:36:50,59.9445,54.9977,27.86,94,100,6.78
230,Rapid Valley,US,2021-03-29 00:33:25,44.0625,-103.1463,68.0,16,1,11.5
231,Loandjili,CG,2021-03-29 00:36:51,-4.7561,11.8578,75.2,100,40,2.3
232,Arraial Do Cabo,BR,2021-03-29 00:36:51,-22.9661,-42.0278,77.49,89,14,10.0
233,Katubao,PH,2021-03-29 00:36:52,5.8892,124.8294,77.0,94,90,4.61
234,Huarmey,PE,2021-03-29 00:36:52,-10.0681,-78.1522,70.9,81,65,7.61
235,Leningradskiy,RU,2021-03-29 00:36:52,69.3833,178.4167,-1.43,91,100,4.99
236,Fairbanks,US,2021-03-29 00:35:36,64.8378,-147.7164,21.0,42,40,6.91
237,Kenai,US,2021-03-29 00:36:53,60.5544,-151.2583,30.2,69,90,9.22
238,Ahipara,NZ,2021-03-29 00:35:33,-35.1667,173.1667,71.87,80,64,7.61
239,Huilong,CN,2021-03-29 00:36:53,31.8111,121.655,66.99,84,0,1.99
240,Athabasca,CA,2021-03-29 00:36:54,54.7169,-113.2854,37.4,93,100,11.5
241,Port Shepstone,ZA,2021-03-29 00:36:54,-30.7414,30.455,66.34,75,99,3.13
242,Khorixas,NA,2021-03-29 00:36:55,-20.3667,14.9667,71.02,46,37,1.81
243,Puerto Del Rosario,ES,2021-03-29 00:36:55,28.5004,-13.8627,66.2,72,0,8.05
244,Turka,UA,2021-03-29 00:36:56,49.1541,23.0297,30.99,82,3,3.11
245,Hofn,IS,2021-03-29 00:36:56,64.2539,-15.2082,26.87,63,1,10.07
246,Neuquen,AR,2021-03-29 00:35:40,-38.9516,-68.0591,60.8,67,0,8.84
